dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-185.886786,-201.0376,-33.4318,-8.504,-243.43879999999996,91.516,-91.9814,260
-171.553089,-189.3389,-32.4578,-8.5405,-228.0897,91.534,-89.2865,261
-195.718738,-212.2807,-36.4011,-9.2793,-238.91019999999997,110.4159,-91.365,262
-184.115194,-211.3987,-44.4261,-10.3875,-229.5073,136.5206,-99.8156,263
-197.119846,-220.7117,-42.8262,-10.21,-238.6346,133.7468,-98.6335,264
-180.848517,-201.0957,-36.1455,-9.2283,-230.1114,108.5064,-92.1483,265
-173.8753,-192.496,-35.1593,-8.7705,-233.4101,96.2332,-93.2175,266
-182.73102,-197.8617,-32.3753,-8.5063,-236.94050000000004,91.4788,-89.676,267
-165.819821,-182.6709,-30.8712,-8.3026,-219.626,87.1322,-84.9135,268
-181.843173,-193.8227,-30.1687,-7.9197,-242.113,79.3991,-89.601,269
-182.324621,-194.7496,-30.4975,-8.1333,-239.08729999999997,83.2767,-88.9836,270
-191.702811,-212.0701,-36.4834,-9.3067,-232.6039,112.4716,-87.2153,271
-203.314095,-221.8499,-42.1754,-9.9959,-248.3022,127.539,-101.82,272
-199.207698,-219.6753,-39.3899,-9.6569,-242.3115,120.0415,-93.6309,273
-188.666071,-205.5228,-33.6242,-8.7994,-234.32809999999995,99.747,-86.1287,274
-189.419002,-201.4357,-33.7794,-8.5673,-248.00669999999997,92.2821,-96.5064,275
-193.921005,-213.259,-36.8058,-9.1687,-241.32999999999998,108.3871,-90.4836,276
-199.32341,-218.9852,-38.6711,-9.7165,-235.9183,122.1464,-90.6919,277
-207.999445,-231.1091,-46.4773,-10.6052,-249.15789999999998,144.1643,-105.1306,278
-205.587837,-227.6944,-42.986,-10.1733,-245.8492,133.2456,-98.2411,279
-184.677209,-202.249,-34.1443,-8.903,-232.8456,101.1378,-88.6871,280
-185.158483,-200.993,-32.7904,-8.429,-240.0684,90.7799,-88.6359,281
-172.197195,-181.707,-25.7864,-7.2586,-234.5529,65.3008,-85.1017,282
-172.173631,-182.8489,-25.7277,-7.1593,-230.43739999999997,65.2332,-79.9347,283
-181.627812,-193.5286,-29.5304,-7.866,-239.8243,78.2047,-87.104,284
-196.908022,-214.0744,-37.919,-9.4633,-242.0312,114.7276,-95.3021,285
-211.20372,-243.7861,-51.11,-11.5487,-233.56940000000003,173.3002,-100.4248,286
-219.912835,-251.6031,-54.8413,-12.0453,-235.95409999999998,189.0676,-106.532,287
-202.459651,-223.8436,-41.3154,-9.9419,-243.88209999999998,127.2704,-96.0516,288
-177.087815,-187.2877,-26.71,-7.3764,-235.3414,68.8539,-82.8212,289
-168.042517,-175.1867,-22.5574,-6.5221,-230.4178,53.1099,-79.2615,290
-170.333759,-178.6537,-23.8076,-6.7637,-231.9124,57.4291,-80.1165,291
-181.132024,-192.3908,-28.5243,-7.7517,-237.267,76.222,-84.8222,292
-201.285749,-221.1714,-40.2464,-9.834,-242.1408,124.3644,-95.2534,293
-215.821705,-246.1348,-52.0755,-11.6369,-237.61700000000002,176.0898,-103.8596,294
-206.754922,-231.8615,-44.5849,-10.5572,-239.95910000000003,144.057,-97.0125,295
-181.715903,-194.2079,-30.1207,-8.0494,-238.7312,81.6517,-88.0049,296
-173.985493,-184.9558,-26.759,-7.3471,-233.4497,68.266,-82.6538,297
-180.981868,-192.8792,-28.8947,-7.8379,-236.9248,77.7882,-85.1012,298
-187.792845,-206.9581,-37.6396,-9.3175,-239.07530000000003,110.67,-95.8301,299
-210.103814,-236.2572,-46.8812,-10.893,-240.32220000000004,153.5236,-99.8144,300
-211.854714,-239.6959,-48.1072,-11.1525,-235.8895,161.6936,-98.6275,301
-202.625159,-222.7121,-41.4579,-9.9333,-245.52530000000002,126.7522,-98.1742,302
-182.60609,-195.9412,-31.0655,-8.1488,-240.8625,83.6313,-89.3383,303
-167.004256,-175.1538,-22.4981,-6.6157,-225.1394,55.3412,-76.213,304
-163.99765,-170.7085,-21.3862,-6.1817,-228.0745,47.7419,-77.54,305
-170.014395,-178.1698,-24.3087,-6.8797,-232.86540000000002,59.2106,-82.7178,306
-193.737203,-212.7956,-36.2723,-9.2438,-236.62199999999999,110.367,-88.6773,307
-218.748612,-252.4664,-54.9357,-12.1241,-234.2197,191.5754,-106.2689,308
-208.359719,-240.1393,-49.4415,-11.4276,-232.07439999999997,169.9105,-100.9765,309
-193.778,-210.6784,-35.8408,-9.1364,-239.9656,106.98,-91.29,310
-167.547278,-177.698,-25.2213,-7.0995,-228.74300000000002,63.5738,-82.298,311
